TrdExctnDtEOM,InstitutionalVolume,RetailVolume,InstitutionalTrades,RetailTrades,InstitutionalCusips,RetailCusips
2015-01-31,141962609200.0,6180924050.0,48674,156292,1874,1845
2015-02-28,164597847640.0,6339694100.0,53216,168334,1869,1841
2015-03-31,151051863100.0,6535261912.0,54709,159674,1738,1729
2015-04-30,137470371000.0,6204532550.0,47700,166703,1894,1865
2015-05-31,130435374000.0,5603863000.0,44388,149166,1708,1693
2015-06-30,134043113291.0,5936348640.0,46612,151987,1682,1661
2015-07-31,146743726982.0,5903354000.0,49857,151917,1885,1863
2015-08-31,116380349400.0,5251694413.0,39337,140274,1622,1601
2015-09-30,140100669000.0,5438560967.0,45805,139095,1661,1644
2015-10-31,161419638100.0,6572588000.0,53651,170375,1875,1846
2015-11-30,98981491820.0,4478852359.0,33499,120582,1249,1237
2015-12-31,80338206000.0,4822161000.0,30382,137237,1081,1074
2016-01-31,151842659032.0,6839085000.0,50032,188059,1761,1730
2016-02-29,168739689000.0,7124995728.0,54615,194298,1774,1757
2016-03-31,199545105031.0,8815154320.0,65027,232503,1900,1881
2016-04-30,160500733666.0,7399711334.0,52602,201637,1861,1836
2016-05-31,123458512580.0,6134466394.0,44236,166511,1292,1285
2016-06-30,143202285716.0,7396868400.0,53008,193925,1841,1812
2016-07-31,128496779586.0,5947710000.0,43813,155522,1623,1601
2016-08-31,124896267246.0,6415321710.0,42979,165676,1531,1516
2016-09-30,144539035375.0,6749532574.0,50032,170327,1982,1948
2016-10-31,143583673500.0,5728150500.0,48176,142443,1723,1702
2016-11-30,136826158392.0,6006846156.0,48052,150379,1796,1780
2016-12-31,84465148702.0,4865721503.0,28984,119688,1112,1105
2017-01-31,155940756800.0,6405265000.0,48144,162742,1771,1756
2017-02-28,138491245800.0,6352845580.0,44456,169787,1764,1739
2017-03-31,173066439360.0,8077699033.0,58808,206060,2074,2052
2017-04-30,108533663000.0,5657633175.0,36175,150033,1729,1716
2017-05-31,139726549050.0,6228898774.0,45779,156833,1477,1460
2017-06-30,137918646300.0,7135485000.0,44477,175479,1936,1915
2017-07-31,109749243000.0,5250674448.0,35224,126427,1572,1550
2017-08-31,128665962000.0,7017646000.0,42782,168031,1741,1727
2017-09-30,134194585228.0,6764888343.0,44696,163868,1923,1898
2017-10-31,138234639875.0,6385540667.0,43839,154057,1681,1664
2017-11-30,149879458202.0,7128597790.0,48342,179562,1974,1947
2017-12-31,59754217500.0,4186730400.0,21621,103340,1033,1027
2018-01-31,148561038500.0,7452121943.0,47136,187169,1777,1759
2018-02-28,159149415722.0,7161994870.0,50193,175724,1815,1798
